Date,Time ,x_axis,y_axis,z_axis
15/11/2024,17:23:56,1.89,1.12,8.5
15/11/2024,17:24:04,2.76,0.35,8.61
15/11/2024,17:24:11,-1.05,1.41,8.63
15/11/2024,17:24:20,2.2,0.71,8.55
15/11/2024,17:24:28,-2.01,1.61,8.5
15/11/2024,17:24:36,-1.38,1.91,8.44
15/11/2024,17:24:45,1.43,0.85,8.45
15/11/2024,17:24:54,1.6,1.68,8.4
15/11/2024,17:25:02,1.1,1.8,8.35
15/11/2024,17:25:10,0.99,1.6,8.47
15/11/2024,17:25:18,2.44,0.16,8.5
15/11/2024,17:25:27,1.39,1.59,8.54
15/11/2024,17:25:34,1.17,1.84,8.46
15/11/2024,17:25:42,2.27,0.64,8.48
15/11/2024,17:25:51,0.5,1.59,8.47
15/11/2024,17:25:59,0.18,0.98,8.68
15/11/2024,17:26:07,3.39,0.11,8.66
15/11/2024,17:26:15,17.42,-2.94,6.74
15/11/2024,17:26:24,1.92,0.86,8.52
15/11/2024,17:26:33,-0.99,1.97,8.49
15/11/2024,17:26:41,-2.61,2.41,8.47
15/11/2024,17:26:49,1.86,0.93,8.49
15/11/2024,17:26:57,1.75,1.12,8.4
15/11/2024,17:27:05,2.62,0.31,8.47
15/11/2024,17:27:13,1.31,1.68,8.48
15/11/2024,17:27:21,0.24,1.55,8.47
15/11/2024,17:27:30,1.55,0.64,8.59
15/11/2024,17:27:38,-1.5,1.24,8.41
15/11/2024,17:27:45,-1.69,1.5,8.53
15/11/2024,17:27:53,0.18,1.58,8.44
15/11/2024,17:28:02,2.47,0.92,8.48
15/11/2024,17:28:10,0.78,1.55,8.35
15/11/2024,17:28:18,0.86,2.09,8.31
15/11/2024,17:28:26,1.31,1.12,8.55
15/11/2024,17:28:33,-1.95,1.7,8.49
15/11/2024,17:28:41,-0.97,2.11,8.52
15/11/2024,17:28:49,1.54,1.02,8.46
15/11/2024,17:28:57,1.21,1.95,8.37
15/11/2024,17:29:05,1.31,2.07,8.44
15/11/2024,17:29:13,2.94,0.23,8.53
15/11/2024,17:29:22,2.05,0.84,8.58
15/11/2024,17:29:29,1.14,1.8,8.49
15/11/2024,17:29:37,-0.41,1.78,8.49
15/11/2024,17:29:47,0.41,1.57,8.52
15/11/2024,17:29:55,0.03,1.56,8.45
15/11/2024,17:30:03,0.5,1.77,8.42
15/11/2024,17:30:11,0.57,1.47,8.49
15/11/2024,17:30:19,0.64,1.96,8.44
15/11/2024,17:30:26,0.39,1.66,8.49
15/11/2024,17:30:34,2.97,0.21,8.56
15/11/2024,17:30:41,1.11,1.71,8.44
15/11/2024,17:30:49,-1.38,1.57,8.6
15/11/2024,17:30:57,1.5,1.12,8.5
15/11/2024,17:31:05,2.53,0.36,8.58
15/11/2024,17:31:13,1.07,0.91,8.5
15/11/2024,17:31:20,-0.94,1.36,8.58
15/11/2024,17:31:28,1.83,1.03,8.44
15/11/2024,17:31:36,-1.42,1.53,8.52
15/11/2024,17:31:45,-1.42,1.56,8.62
15/11/2024,17:31:55,1.94,1.15,8.52
15/11/2024,17:32:04,0.99,1.38,8.48
15/11/2024,17:32:12,1.47,0.92,8.49
15/11/2024,17:32:23,2.1,0.84,8.59
15/11/2024,17:32:32,1.6,1.01,8.49
15/11/2024,17:32:40,0.12,1.55,8.42
15/11/2024,17:32:49,1.4,0.85,8.43
15/11/2024,17:32:57,0.94,1.47,8.43
15/11/2024,17:33:05,-1.06,1.35,8.49
15/11/2024,17:33:14,4.05,0.32,9.08
15/11/2024,17:33:22,2.24,0.29,8.39
15/11/2024,17:33:30,1.44,0.66,8.29
15/11/2024,17:33:39,2.33,4.96,2.02
15/11/2024,17:33:47,0.68,0.89,8.57
15/11/2024,17:33:55,0.66,2.09,8.36
15/11/2024,17:34:03,2.63,0.67,8.53
15/11/2024,17:34:12,0.59,1.14,8.53
15/11/2024,17:34:20,0.12,0.98,8.54
15/11/2024,17:34:29,0.59,2.12,8.45
15/11/2024,17:34:37,0.54,1.73,8.53
17/04/2025,10:54:37,-0.11,0.34,8.5
17/04/2025,10:54:45,-1.1,-0.57,8.59
17/04/2025,10:54:55,-0.21,1.16,8.43
17/04/2025,10:55:03,-0.61,0.05,8.5
17/04/2025,10:55:12,0.37,-0.95,8.63
17/04/2025,10:55:20,-0.89,-1.02,8.5
17/04/2025,10:55:28,-2.28,-0.11,8.49
17/04/2025,10:55:36,-2.14,-0.48,8.29
17/04/2025,10:55:44,-1.48,1.02,8.09
17/04/2025,10:55:52,-1.48,0.98,8.27
17/04/2025,10:56:00,-1.36,1.77,8.25
17/04/2025,10:56:08,-1.51,-0.28,8.41
17/04/2025,10:56:17,-1.28,0.26,8.46
17/04/2025,10:56:25,-0.68,1.83,8.43
17/04/2025,10:56:33,-0.58,1.72,8.5
17/04/2025,10:56:41,-1.31,-0.27,8.49
17/04/2025,10:56:49,-1.04,2.64,8.74
17/04/2025,10:56:59,-1.91,-0.74,8.71
